FID,fid_1,Numer,Nazwa,KSRG,Rodzaj,Kategoria,Kraj,Województwo,Powiat,Gmina,Miejscowość,Kod pocztowy,Adres,Nazwa obiektu,Długość,Szerokość,x,y
1,2001,306111,OSP Wierzbica,Nie,OSP,M1,Polska,LUBELSKIE,chełmski,Leśniowice,Wierzbica,22-122,Wierzbica 25B, ,23.5146472222,50.9672,23.5146472222,50.9672
2,2002,306112,OSP Wygnańce,Nie,OSP,M1,Polska,LUBELSKIE,chełmski,Leśniowice,Wygnańce,22-122,Wygnańce 31, ,23.601775,50.9660305556,23.601775,50.9660305556
3,2003,306113,OSP Kanie,Tak,OSP KSRG,S2,Polska,LUBELSKIE,chełmski,Rejowiec Fabryczny (gmina wiejska),Kanie,22-171,119 F, ,23.1169277778,51.1410111111,23.1169277778,51.1410111111
4,2004,306114,OSP Wólka Kańska,Nie,OSP,S2,Polska,LUBELSKIE,chełmski,Rejowiec Fabryczny (gmina wiejska),Wólka Kańska,22-171,113, ,23.0724444444,51.1309861111,23.0724444444,51.1309861111
5,2005,306115,OSP Pawłów,Nie,OSP,M1,Polska,LUBELSKIE,chełmski,Rejowiec Fabryczny (gmina wiejska),Pawłów,22-172,Szkolna 2, ,23.2126138889,51.1465611111,23.2126138889,51.1465611111
6,2006,306116,OSP Ruda,Tak,OSP KSRG,S2,Polska,LUBELSKIE,chełmski,Ruda-Huta,Ruda Kolonia,22-110,Ruda Kolonia  28A, ,23.5831583333,51.2548972222,23.5831583333,51.2548972222
7,2007,306117,OSP Leśniczówka,Nie,OSP,S1,Polska,LUBELSKIE,chełmski,Ruda-Huta,Leśniczówka,22-110,Leśniczówka 20B, ,23.5418777778,51.2057166667,23.5418777778,51.2057166667
8,2008,306118,OSP Żalin,Nie,OSP,S1,Polska,LUBELSKIE,chełmski,Ruda-Huta,Żalin,22-110,Żalin, ,23.6394638889,51.2078944444,23.6394638889,51.2078944444
9,2009,306122,OSP Sawin,Tak,OSP KSRG,S2,Polska,LUBELSKIE,chełmski,Sawin,Sawin,22-107,Rynek 17 A, ,23.4327166667,51.2739083333,23.4327166667,51.2739083333
10,2010,306123,OSP Bukowa Wielka,Nie,OSP,S1,Polska,LUBELSKIE,chełmski,Sawin,Bukowa Wielka,22-107,Bukowa Wielka 110, ,23.5127944444,51.3139194444,23.5127944444,51.3139194444
