FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
1,1235001,JRG Żory,324345427,324345438,JRG,ŚLĄSKIE,Żory,Żory,Żory,Ogniowa 10,44-240,18.6732805556,50.050525,18.6732805556,50.050525
2,741001,JRG Żuromin,236572398,236572398,JRG,MAZOWIECKIE,żuromiński,Żuromin,Żuromin,Warszawska 25,09-300,19.9122305556,53.0647583333,19.9122305556,53.0647583333
3,742001,JRG Żyrardów,468553549,468556125,JRG,MAZOWIECKIE,żyrardowski,Żyrardów,Żyrardów,1-go Maja 61B,96-300,20.4335583333,52.059675,20.4335583333,52.059675
4,1236001,JRG Żywiec,338630400,338630400,JRG,ŚLĄSKIE,żywiecki,Żywiec,Żywiec,Objazdowa 2,34-300,19.1883194444,49.6824388889,19.1883194444,49.6824388889
5,306001,JRG 1 Chełm,825653428 wew.: 82565,825604850 wew.: 82560,JRG,LUBELSKIE,Chełm,Chełm,Chełm,Prym. S. Wyszyńskiego 2B,22-100,23.4950583333,51.1272472222,23.4950583333,51.1272472222
6,211001,JRG 1 Inowrocław, ,477513400,JRG,KUJAWSKO-POMORSKIE,inowrocławski,Inowrocław (gmina miejska),Inowrocław,Poznańska 133,88-100,18.2582833333,52.7800833333,18.2582833333,52.7800833333
7,805001,JRG 1 Kędzierzyn-Koźle,478626541,478616510,JRG,OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,Mostowa 33,47-223,18.2436222222,50.3120666667,18.2436222222,50.3120666667
8,301001,JRG 1 Lublin,815351330,815351330,JRG,LUBELSKIE,Lublin,Lublin,Lublin,Antoniego Szczerbowskiego 6,20-012,22.5555555556,51.2394444444,22.5555555556,51.2394444444
9,913001,JRG 1 Mielec,177800970,177800998,JRG,PODKARPACKIE,mielecki,Mielec (gmina miejska),Mielec,Sienkiewicza 54,39-300,21.4241833333,50.2924666667,21.4241833333,50.2924666667
10,1501001,JRG 1 Poznań,612220410 wew.: 20410,477716414 wew.: 6414,JRG,WIELKOPOLSKIE,Poznań,Poznań,Poznań,Wolnica 1,61-764,16.9328333333,52.4108055556,16.9328333333,52.4108055556
